神策 ID,设备 ID,登录 ID,activity_user_type,app_first_login_time,channel_name,client_type,community_id
-1695211750174285253,59d5c216c5ecbc859d772fce04033f85,59d5c216c5ecbc859d772fce04033f85,3.0,2019-06-23 22:38:05.000,,h5,shenzhen
99577320052253109,5dd181be3756a2d3,f763ed13c0490fd20585f1ef398d2958,,2019-11-11 13:45:35.000,,,
-3156243380094375526,621142afacf7aeb18d9f321990df0389,621142afacf7aeb18d9f321990df0389,2.0,2016-11-08 07:53:02.000,,h5,chongqing
-7293584740236088264,653c2aa0c862c24f46aa6648f77566a1,653c2aa0c862c24f46aa6648f77566a1,2.0,2019-03-06 23:05:14.000,,,hangzhou
3088904562576557814,66aad3d6ba00306eed6489a350a6fd5e,66aad3d6ba00306eed6489a350a6fd5e,4.0,2018-08-18 17:55:07.000,,h5,
-1294864451811694588,677d5ade89e8c3dbcd3383d1a711ff6f,677d5ade89e8c3dbcd3383d1a711ff6f,1.0,2016-08-27 11:11:43.000,,h5,taiyuan
-6006966215400478222,69A14A01-6946-4CBE-BAC8-CB0855A741F4,a890c54ee85dcb87364adab06cc04a97,,2020-02-01 13:42:15.000,,,changsha
2818004132231154957,6a70c8b50c1c5fddc8c681a685b97271,6a70c8b50c1c5fddc8c681a685b97271,2.0,2018-03-19 16:54:02.000,,h5,dalian
-5807200256311535878,6b3c580fc22dab73b6a67aba0745e259,6b3c580fc22dab73b6a67aba0745e259,2.0,2017-11-05 14:09:24.000,,h5,xian
-1318590417584860435,6de08e1334a59251b803e2db47f5802c,6de08e1334a59251b803e2db47f5802c,2.0,2018-02-21 21:59:00.000,,h5,chongqing
6592650724059283020,6eac93a88967d58103dc78794137ee55,6eac93a88967d58103dc78794137ee55,,2020-02-27 12:57:10.000,,,zhengzhou
220633776915971508,74e62ea5af04004f32092a264a135de0,74e62ea5af04004f32092a264a135de0,2.0,2016-10-20 09:57:05.000,,h5,hangzhou
7660625440747591976,7583f14dcf499029053ad7f952ff9342,7583f14dcf499029053ad7f952ff9342,2.0,2019-03-19 13:33:39.000,,h5,qingdao
-6322433021534905226,7842c15d13d85315a25cf577118dbb4d,7842c15d13d85315a25cf577118dbb4d,3.0,2018-06-14 11:38:49.000,,h5,chengdu
-1124264019222460719,7a32ef8bf5112c0ae951bcb581d71ea1,7a32ef8bf5112c0ae951bcb581d71ea1,2.0,2017-04-15 23:48:05.000,,h5,guangzhou
5824029711307495430,7ad09ad82528e10b4c53c5de0b9cb245,7ad09ad82528e10b4c53c5de0b9cb245,4.0,2019-09-13 18:39:44.000,,h5,guangzhou
